Date,Headline
2021-03-16,developers to pay lower fees to google's app store for first $1 million in revenue
2021-03-16,google app store fees cut for developers on first million in sales
2021-03-16,cdw acquires google premium education partner amplified it for undisclosed sum
2021-03-16,palantir rising: war in the garden of google
2021-03-14,"a lawsuit that accused google of collecting the data of people who were using incognito mode can continue, said a federal judge"
2021-03-12,google and microsoft are in a public feud
2021-03-12,google under eu watchdog probe for advertising: bloomberg
2021-03-12,"google accused microsoft of unfairly attacking the tech giant to distract from the massive exchange hack (googl, msft)"
2021-03-12,"capitol report: congress puts google, facebook in its sights in effort to bolster local news"
2021-03-12,microsoft and google spar ahead of antitrust hearing on tech and the future of news
2021-03-11,"nasdaq powers higher, reclaims 50-day line; alphabet, twitter, discover financial in focus"
2021-03-11,google paves way to tap pay users' data in india
2021-03-10,fortnite creator epic games hauls google into australian court
2021-03-10,fortnite creator epic games launches australian legal action against google
2021-03-10,google offers free pointy devices to bring irish retailers online
2021-03-10,how google's decision to scrap third-party cookies will affect the search giant
2021-03-10,google transformers: the latest tech powering the arkq etf
2021-03-10,"google is eliminating cookies, but investors in the trade desk and magnite shouldn't worry"
2021-03-10,epic games takes anticompetitive battle against google to australia: bloomberg
2021-03-09,"4 secular growth stock ideas: chewy, amazon, alphabet, equinix"
2021-03-09,"russia indicts google, facebook, twitter, tiktok, telegram for alleged non-deletion of protest content"
2021-03-06,google says it won't stalk you across the web with cookies. experts think it's a clever ploy to consolidate its ads empire.
2021-03-04,epic games and match group are pushing states to pass app store regulation that would hurt apple and google
2021-03-04,alphabet (googl) gains as market dips: what you should know
2021-03-04,google sells with a huge discount for the holding structure
2021-03-04,stock market sell-off intensifies after powell remarks; alphabet shows uncanny strength
2021-03-04,"what google's latest cookie announcement means for top ad tech stocks, according to analysts"
2021-03-04,"google, allianz, and munich re partner for insurance venture"
2021-03-04,is google stock a buy? internet search giant could finally be best fang stock in 2021
2021-03-04,google: no tracking tools to replace third-party cookies in chrome
2021-03-03,"fortnite row aftermath: arizona house passes bill that will require apple, google to let app developers chose outside payments systems"
2021-03-03,google will stop selling ads based on web browsing history
2021-03-03,google follows apple down the path to greater online privacy
2021-03-03,google will stop tracking user browsing for ad sales
2021-03-03,arizona house passes bill that threatens apple and google's app stores
2021-03-03,google announces landmark move to stop selling ads based on user web browsing: wsj
2021-03-03,google says it won't develop ad products that track individuals
2021-03-03,google says it won't use new ways of tracking you as it phases out browser cookies for ads
2021-03-02,"‘widespread failure to comply': why washington state's ag is suing google, again"
2021-03-02,inuvo enters google service agreement: stock technicals to watch
2021-03-02,"google teams up with allianz, munich re to insure its cloud users"
2021-03-01,google insiders reveal why the company's ambitious plan to create major video games fell apart (googl)
2021-03-01,"are idexx, alphabet & amazon poised for stock splits in 2021?"
2021-03-01,"apple, google lead tech stock buybacks while bank repurchases emerge"
2021-02-28,"coinbase and roblox take a page from google, keeping marketing costs way down ahead of public debuts"
2021-02-25,mongodb extends google cloud partnership for digital transformation of businesses
2021-02-25,why alphabet makes a hard case for short sellers
2021-02-25,google and mongodb double down on cloud alliance with deeper atlas integrations
2021-02-25,exclusive: google pledges changes to research oversight after internal revolt
2021-02-25,"facebook, google to share revenue with australian media as country passes law with global implications"
2021-02-24,australia passes new law requiring facebook and google to pay for news
2021-02-24,"australia passes law forcing facebook, google to pay for news"
2021-02-24,australia passes law requiring google and facebook to pay for news
2021-02-24,"australia passes new media law that will require google, facebook to pay for news"
2021-02-24,"capitol report: ceos for goldman, google, intel among the 160 ceos supporting biden's $1.9 trillion aid plan"
2021-02-23,"australian lawmakers expected to pass amendments to facebook, google law"
2021-02-23,exclusive: french antitrust investigators say google breached its orders on talks with news publishers - sources
2021-02-23,"two years after launch, huawei to roll out its google android rival to phones — with big challenges"
2021-02-22,"australia closer to passing watershed google, facebook laws"
2021-02-22,regulators in india investigate google pay antitrust concerns
2021-02-22,google data is the new black with connected clothing
2021-02-22,microsoft's partnership with european news publishers threatens facebook and alphabet
2021-02-21,"google's program for black college students suffered disorganization and culture clashes, former participants say"
2021-02-20,"the new york post: lawmakers want news media to team up against facebook, google"
2021-02-20,google has pulled down a propaganda blog backing the military coup in myanmar after outcry by online activists (goog)
2021-02-19,alphabet (googl) shows discipline
2021-02-19,"second google ai ethics leader fired, she says amid staff protest"
2021-02-19,"google to evaluate executive performance on diversity, inclusion"
2021-02-19,"facebook, alphabet, twitter ceos to testify before congress in march over misinformation: cnbc"
2021-02-19,"exclusive: coming bill would allow u.s. news publishers to team up when negotiating with facebook, google"
2021-02-18,google names exec to oversee responsible ai research after staff unrest
2021-02-18,"facebook, google, twitter ceos set to testify about misinformation"
2021-02-18,"facebook, google and twitter ceos will make another appearance before congress in march"
2021-02-18,"amazon, facebook, google-backed groups sue maryland over new online ad tax - washington post"
2021-02-18,news corporation (nwsa) & google form a three-year partnership
2021-02-18,"davis selected advisers cuts facebook, alphabet, amazon"
2021-02-18,better buy: ibm vs. alphabet
2021-02-18,google agrees to pay for news corp journalism as facebook blocks news in australia over new law
2021-02-17,google and j.b. hunt announce strategic alliance to accelerate innovation in transportation and logistics
2021-02-17,facebook cuts off news in australia; google to pay news corp.
2021-02-17,google agrees to pay news corp for content in a global deal.
2021-02-17,news corp strikes 3-year deal to join google's news showcase platform
2021-02-17,news corp and google reach global news sharing deal
2021-02-17,google and news corp strike a deal as australia seeks to make platforms pay for news
2021-02-17,news corp signs news partnership deal with google
2021-02-17,news corp. to provide google news showcase with premium content as part of 3-year news partnership
2021-02-17,google to invest $75 million in coronavirus-hit small businesses
2021-02-17,australian media firms squeeze more from google as new law looms
2021-02-16,australia's nine strikes a google media deal as licencing laws approach - media
2021-02-16,google vs. amazon stock: which is the better buy
2021-02-16,"alphabet, constellation brands, mattel, callaway golf and more tuesday afternoon analyst calls"
2021-02-16,is google stock a buy? internet search giant could finally be best fang stock in 2021
2021-02-15,google and facebook: the landmark australian law that will make them pay for news content
2021-02-15,google slapped in france over misleading hotel star ratings
2021-02-15,is google undervalued?
2021-02-15,google nears deals with major australian news publishers as lawmakers debate plans to make firms pay for news
2021-02-15,google signs multimillion-dollar deal with major australian publisher as it tries to signal cooperation on news payments
2021-02-15,france fines google 1.1 million euros over hotel rankings practices
2021-02-15,google's fight in australia could change the future of media
2021-02-12,exclusive: google's $76 million deal with french publishers leaves many outlets infuriated
2021-02-12,"australia takes on big tech, google, facebook"
2021-02-12,"australia to consider legislation directing google, facebook to pay news outlets for content"
2021-02-12,"microsoft yearns us to charge google, facebook for content usage: wsj"
2021-02-12,google swipes at microsoft for supporting australia's 'unworkable' levy on tech giants
2021-02-12,analysis: google partners brace for hit as search giant threatens australia exit
2021-02-10,google cloud boss is focused on growth: 'we need scale in order to be profitable'
2021-02-10,"google touts affordable housing, local shops in new mountain view campus proposal"
2021-02-10,record highs at alphabet make a hard case for short sellers
2021-02-10,amazon and microsoft rule the cloud — but where do alphabet and smaller companies fit in?
2021-02-10,former goldman co-president jon winkelried and alphabet venture partner join fintech start-up mx
2021-02-10,google is going to start paying uk publishers for news
2021-02-10,"there has been a ‘change in sentiment' on regulating google, travel firm ceo says"
2021-02-09,"australia does not want to see google or facebook leave, but they must follow the rules"
2021-02-09,alphabet continues shining in difficult times
2021-02-09,"australia's media bill could become law 'fairly soon' despite google and facebook objections, minister says"
2021-02-08,google warns pandemic could hinder its ability to 'maintain corporate culture' in 2021
2021-02-08,better buy: alphabet vs. the trade desk
2021-02-08,alphabet and dolby lead the balance sheet powerhouses
2021-02-08,"global payments stock gains after profit beat, google partnership announcement"
2021-02-07,ford and google strike a deal to power data and cloud services in cars
2021-02-06,better buy: apple vs. alphabet
2021-02-06,"google's cloud business keeps losing money, but that's fine. in the long run, it's still a winning strategy."
2021-02-05,"how youtube, cloud, and hardware drove alphabet stock to an all-time high"
2021-02-05,google rolls out paid news showcase platform to bypass australia content law
2021-02-05,"google has to make the call on its future in australia, competition watchdog says"
2021-02-04,google launches news showcase in australia in sign of compromise over media code
2021-02-04,"google and facebook are 'biggest actors' in antitrust issues, says rep. ken buck"
2021-02-04,alphabet union files labor board complaint alleging subcontractor banned workers from talking about pay
2021-02-04,"twitter, google cloud announce multi-year strategic partnership"
2021-02-04,will google etfs keep shining on q4 earnings optimism?
2021-02-04,texas court considers hearing on changing venue of google antitrust case
2021-02-04,google's growth is a wakeup call
2021-02-04,alphabet: exceptional q4 supports low-teens annualized return investment case
2021-02-04,australian drone firm reshapes strategy over google pull-out threat
2021-02-04,google ceo met australia's prime minister after threatening to pull out its search engine
2021-02-03,two google engineers resign over firing of ai ethics researcher timnit gebru
2021-02-03,google wants to use drones to fight fires
2021-02-03,3 alphabet analysts break down the q4 report
2021-02-03,google smashed top and bottom-line wall street estimates
2021-02-03,alphabet earnings beats estimates as google cloud revenue climbs
2021-02-03,"alphabet's smash earnings report proves goog stock can hit $2,500"
2021-02-03,google's new subsea cable between the u.s. and europe is now online
2021-02-03,the ratings game: alphabet stock hits all-time high as analysts boost price targets
2021-02-03,"as google fights with australia, microsoft promotes bing and says it wouldn't threaten to leave country"
2021-02-03,"parler's survival is uncertain after it was dropped by amazon, apple and google"
2021-02-03,"alphabet shares power s&p 500, nasdaq; amazon dips"
2021-02-03,amazon and google reaped big rewards from a rebound in q4 ad spend
2021-02-03,google parent alphabet's stock spikes thanks to record ad revenue
2021-02-03,"live | bezos, amazon, alphabet and chipotle: jim's cramer's stock market breakdown - february 3"
2021-02-03,why alphabet stock just jumped
2021-02-03,cramer on why the narrative around alphabet reminds him of disney
2021-02-03,google's revenue and profitability is getting ready to accelerate again
2021-02-03,alphabet (googl) q4 earnings and revenues beat estimates
2021-02-03,google's search rivals say they're committed to australia if the tech giant quits: 'our servers could handle it.'
2021-02-03,"amazon gets first $5,000+ stock price target, and alphabet gets first $3,000 target"
2021-02-03,"youtube is a powerhouse for google, with revenue up 46% to almost $7 billion"
2021-02-03,microsoft says it would never ‘threaten to leave' australia after google said it could withdraw search engine
2021-02-03,tech leads global stocks higher after amazon and google earnings
2021-02-03,google parent alphabet spikes 7% after smashing 4th-quarter expectations on digital ad sales during the holiday shopping quarter
2021-02-03,google's transatlantic dunant subsea cable opens as cloud sales soar
2021-02-02,google parent alphabet q4 eanings posts beat on eps and revenue
2021-02-02,"microsoft backs australia's proposed media laws targeting google, facebook"
2021-02-02,"alphabet, inc. (goog) ceo sundar pichai on q4 2020 results - earnings call transcript"
2021-02-02,alphabet's revenues jump 23 pct amid spike in advertising
2021-02-02,"lou dobbs reacts to bezos stepping down as ceo, high amazon, alphabet earnings"
2021-02-02,google's cloud business takes $1.2 billion loss
2021-02-02,"amazon, google post big q4 beats; chipotle misses"
2021-02-02,alphabet reports record revenue for q4 2020 as google cloud sales soar
2021-02-02,alphabet (googl) q4 earnings and revenues top estimates
2021-02-02,google's cloud business is losing money
2021-02-02,"gene munster on amazon, google earnings"
2021-02-02,google cloud lost $5.6b in 2020
2021-02-02,alphabet inc reports record profit in the fiscal fourth quarter
2021-02-02,alphabet shares surge after beating on both top and bottom line
2021-02-02,"google cloud generated over $13 billion in revenue last year, but it's not yet profitable (goog, googl)"
2021-02-02,are alphabet earnings enough to push for an all-time high?
2021-02-02,recap: alphabet q4 earnings
2021-02-02,"google parent alphabet q4 sales surge; youtube ad revenue at $6.9 billion, up 46%"
2021-02-02,earnings results: alphabet posts record profits for second straight quarter despite pandemic
2021-02-02,alphabet beats top and bottom line in q4
2021-02-02,google cloud lost $5.61 billion on $13.06 billion revenue last year
2021-02-02,google parent alphabet quarterly sales beat estimates
2021-02-02,alphabet stock rises over 4% as results top estimates
2021-02-02,"stock market posts back-to-back gains as gamestop chaos cools, investors parse google, amazon results"
2021-02-02,alphabet set to release q4 2020 earnings after the bell
2021-02-02,"alphabet, amazon are set to report earnings — what this analyst expects"
2021-02-02,google settles with department of labor over allegations of worker discrimination
2021-02-02,ford stock price moves higher on google android partnership
2021-02-02,"ford (f), google team up for cloud services, vehicle connectivity"
2021-02-02,"wall st. opens higher ahead of amazon, alphabet earnings; stimulus in focus"
2021-02-02,"market snapshot: dow poised to climb a over 240 points as focus turns to amazon, google"
2021-02-02,amazon and alphabet the last of the tech giants to post quarterly results
2021-02-02,alphabet reports earnings today. here's what to know.
2021-02-01,google will stop making video games for its stadia platform
2021-02-01,google will wind down game development studios as tech giants struggle to break into gaming
2021-02-01,google to pay $2.59 million to settle allegations of discrimination
2021-02-01,"google reaches $3.8 million settlement over pay, hiring discrimination allegations"
2021-02-01,"google closes stadia game studios to focus on tech, partnerships"
2021-02-01,millions of ford vehicles will run on google's android operating system starting in 2023
2021-02-01,microsoft (msft) search engine bing may gain if google exits australia
2021-02-01,google shuts down its internal stadia game studios
2021-02-01,google stops stadia game development and closes its studios
2021-02-01,"ford, google partner on android-connected vehicles"
2021-02-01,google abandons effort to create video games less than 2 years after it was announced (googl)
2021-02-01,"ford partners with google to advance built-in apps, services"
2021-02-01,all eyes on alphabet's first-ever disclosure of google cloud profit
2021-02-01,google investors may have forgotten how much lawmakers want to rein in big tech
2021-02-01,google earnings: what to look for
2021-02-01,"amazon, alphabet and salesforce are all investing in a $28 billion company that crunches big data"
2021-02-01,"what you need to know in options, gamestop, google, amazon, snap and more: week of february 1"
2021-02-01,powered by android: ford motor company's future cars will have google on board
2021-02-01,"ford, google join hands to offer cloud-based data services"
2021-02-01,ford bets on google cloud for its digital transformation
2021-02-01,ford and google sign six-year deal for in-car connectivity and cloud services
2021-02-01,"ford picks google for cloud, next-gen android automotive infotainment"
2021-02-01,"earnings previews: what to expect from amazon, alphabet, alibaba"
2021-02-01,google testing search brinkmanship in australia
2018-02-01,"earnings results: google earnings: cloud is a $1 billion business, execs say"
2018-02-01,"cramer tackles facebook, apple, amazon and alphabet earnings"
2018-02-01,"google announced plans to buy back $8,589,869,056 of its stock - here&quot;s why they chose that number (goog, googl)"
2018-02-01,"update 1-alphabet, aramco in talks to build tech hub in saudi arabia - wsj"
2018-02-01,alphabet profit falls short as google&quot;s ad and marketing costs rise
2018-02-01,"alphabet inc (googl) earnings miss, revenue beats, stock tumbles"
2018-02-01,alphabet names board veteran as chairman to succeed schmidt
2018-02-01,"google dips after reporting an earnings miss (googl, goog)"
2018-02-01,alphabet&quot;s earnings miss profit estimates as spending grows
2018-02-01,"aramco, alphabet discuss joint tech hub in saudi arabia"
2018-02-01,update 2-alphabet&quot;s earnings miss profit estimates as spending grows
2018-02-01,alphabet&quot;s earnings miss wall st. estimates as spending grows
2018-02-01,update 1-alphabet&quot;s earnings miss wall st estimates as spending grows
2018-02-01,alphabet cracks $100 billion in annual revenue as advertising soars
2018-02-01,google parent alphabet&quot;s revenue rises; a loss due to tax charge
2018-02-01,"google is slipping ahead of earnings (goog, googl)"
2018-02-01,report: google&quot;s alphabet explores joint venture opportunity with saudi aramco
2018-02-01,"market extra: here&quot;s what options traders expect from apple, amazon and alphabet earnings"
2018-02-01,alphabet inc (googl) earnings preview: strong results expected
2018-02-01,"millennials are stocking up on google ahead of earnings (goog, googl)"
2018-02-01,the wall street journal: google parent alphabet reportedly teams with aramco in planning saudi tech hub
2018-02-01,"alphabet, aramco in talks to build tech hub in saudi arabia: wsj"
2018-02-01,"alphabet, aramco in talks to build tech hub in saudi arabia - wsj"
2018-02-01,alphabet earnings preview: what might be expected for q4?
2018-02-01,google parent alphabet and aramco in talks to build tech hub in saudi arabia
2018-02-01,"mcdonald&quot;s, travelcenters of america and alphabet highlighted as zacks bull and bear of the day"
2018-02-01,"stock market update: futures point to lower open; apple, amazon, alphabet earnings on deck"
2018-02-01,"google&quot;s clicks, diversification efforts likely to drive alphabet results"
2018-02-01,earnings preview: what to expect from google on thursday
2018-02-01,"alphabet earnings preview: a monster quarter tainted by youtube&quot;s nasty year (goog, googl)"
2018-02-01,"google&quot;s g suite is no microsoft killer, but still winning converts"
2018-01-31,what is google&quot;s &quot;other bets&quot; unit and how does it make money?
2018-01-31,why google&quot;s &quot;other revenues&quot; are the key to alphabet&quot;s earnings
2018-01-31,3 key estimates for google&quot;s q4 earnings report
2018-01-31,alphabet historically cuts or reverses earnings-driven after-hours trade in follow-on regular session
2018-01-31,google aims to get &quot;diverse perspectives&quot; into search results
2018-01-30,facebook just poached an augmented reality exec from google
2018-01-30,google closes its blockbuster htc deal
2018-01-30,"top analyst upgrades and downgrades: abbott labs, alphabet, amazon, ge, gilead, intel, seagate, us steel and many more"
2018-01-30,google brain co-founder raises $175 mln fund for ai startups
2018-01-30,google brain co-founder raises $175 million fund for ai startups
2018-01-30,will paid clicks help alphabet (googl) beat on q4 earnings?
2018-01-30,earnings watch: alphabet earnings: google hardware push should boost non-advertising business
2018-01-29,alphabet earnings preview: revenues set to grow in q4
2018-01-29,google&quot;s alphabet has cut apple&quot;s market-cap lead to under $30 billion
2018-01-28,alphabet hits another key milestone
2018-01-28,how amazon&quot;s ad business could threaten google and facebook
2018-01-28,the smart home war heats up with google&quot;s new smart displays
2018-01-27,will alphabet pay the price for the youtube partner purge?
2018-01-27,"facebook, apple, google and amazon&quot;s q4 earnings"
2018-01-25,"alphabet, inc. earnings: what to watch"
2018-01-25,"the real reason apple inc. is so cheap compared to alphabet inc, facebook inc, and microsoft corporation"
2018-01-25,"alphabet launches chronicle, a moonshot cybersecurity company"
2018-01-25,alphabet adds cybersecurity unit chronicle to its portfolio
2018-03-01,nonprofits scramble to comply with new google ad policy
2018-02-28,alphabet (google) campus visit
2018-02-28,alphabet and facebook&quot;s businesses are strikingly similar
2018-02-28,google launches slack competitor hangouts chat
2018-02-28,a potential $1 trillion healthcare market -- and alphabet wants a piece of it
2018-02-27,exclusive: alphabet chairman and ex-stanford president john hennessy&quot;s lessons in leadership
2018-02-27,pinterest hires former google exec as its first coo
2018-02-27,update 1-pinterest hires former google exec as its first coo
2018-02-27,pinterest hires former google executive as its first coo
2018-02-27,alphabet&quot;s verily is plotting a move into a fast-growing corner of the health insurance industry
2018-02-27,"new hints that alphabet might spin-off project loon, from an unexpected source"
2018-02-27,marketwatch first take: the sec wants to know why google doesn&quot;t report youtube revenue
2018-02-26,"investors are heavily discounting google, facebook&quot;s growth prospects, says keybanc"
2018-02-24,alphabet&quot;s taking its battle with uber to the streets
2018-02-23,amazon and alphabet take on nvidia
2018-02-23,"google raises price of youtube tv, adds sports, turner"
