Date,Label,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25
2020-03-24,1,anna wintour and tom ford are creating a fashion rescue fund,"morgan stanley: ford will survive coronavirus halt, but stock may not have bottomed yet","ford extends u.s. shutdown, including sharonville plant","ford to work with ge, 3m to make coronavirus respirators, ventilators",3m teams with ford to make protective respirators for health workers,"gm&quot;s draw-down preserves dividend, signals edge over ford",ford to delay restart of north american auto production amid      coronavirus concerns,"ford, autoworkers to assist in medical equipment production","ford partners with 3m, ge healthcare to make respirators, ventilators to fight coronavirus","ford helping ge make ventilators, 3m manufacture respirators","coronavirus: ford partners with ge, 3m to begin manufacturing protective equipment, ventilators",why shares of ford motor company are rising today,ge healthcare and ford team up to manufacture ventilators during coronavirus pandemic,"top analyst upgrades & downgrades: amd, alcoa, biomarin, coca-cola, ford, gm, intel, kinder morgan, micron, nvidia, tesla, twitter, zillow and more","ford to produce ventilators, respirators with 3m, ge healthcare in coronavirus fight",,,,,,,,,,
2020-03-25,0,"stocks making the biggest moves after hours: micron, shoe carnival, ford and more","ford recalling more than 250,000 fiesta, fusion and lincoln mkz models",ford motor company issues two safety recalls for north america and one safety recall for canada only,"ford, 3m, ge team up to manufacture covid-19 medical equipment","thinking about buying stock in cytosorbents, darden restaurants, ford, kb home, or mgm resorts?",toyota and ford extend shutdown decisions to asia and india,"ford motor (f, $4.95) rsi indicator left the oversold zone on march 24, 2020","ford pitches in to fabricate face shields, respirators, ventilators",,,,,,,,,,,,,,,,,
2020-03-26,0,"gm cuts white-collar salaries, ford&quot;s bill ford defers salary for 5 months",ford looks to reopen facilities in as early as two weeks,"ford warns of potential job cuts, will partially defer executive salaries amid coronavirus pandemic",ford sets date to reopen sharonville plant after coronavirus shutdown,iht wealth management llc cuts stock position in ford motor (nyse:f),ford (f) unites with 3m &amp; ge healthcare to combat coronavirus,factbox: ford and general motors&quot; electric vehicle plans,"ford, fiat chrysler, honda, toyota seek to restart factories",ford plans to restart production at &quot;key&quot; auto plants starting in early april,"ford, honda, toyota seek to restart plants closed by virus","stocks making the biggest moves in the premarket: ford, cheesecake factory, groupon, apple & more","ford recalling more than 250,000 fiesta, fusion and lincoln mkz models","belpointe asset management llc acquires 45,466 shares of ford motor (nyse:f)","7,122 shares in ford motor (nyse:f) bought by ancora advisors llc",,,,,,,,,,,
2020-03-27,1,ford plans to reopen kc plant in mid-april,ladenburg thalmann financial services inc. trims stock position in ford motor (nyse:f),dynamic technology lab private ltd makes new investment in ford motor (nyse:f),critical news coverage unlikely to impact ford motor (nyse:f) stock price,,,,,,,,,,,,,,,,,,,,,
2020-03-30,0,ford joins effort to make ventilators,they can’t afford to quarantine. so they brave the subway.,"ford to produce 50,000 ventilators in michigan in next 100 days; partnering with ge healthcare will help coronavirus patients",ford to restart north american auto production on 6 april on      limited basis,"the zacks analyst blog highlights: general electric, ford, 3m, vir and biogen","thinking about buying stock in alpha pro tech, bellerophon therapeutics, cronos group, ford, or snap?",alliancebernstein l.p. cuts holdings in ford motor (nyse:f),,,,,,,,,,,,,,,,,,
2020-03-31,0,ford delays planned restart amid concerns for worker safety,ford boosts coronavirus medical supply production to aid workers in hotspots,"behind the money: ford, gm and the corporate dash for cash","gm, ford reveal 2026 marketing plans - lots of suvs, not so many evs",ford reverses course on kansas city plant reopening,ford delays production restart date,ford further postpones na production restart to protect workforce,ford motor (nyse:f) shares sold by capital wealth planning llc,,,,,,,,,,,,,,,,,
2020-04-01,0,some pregnant women who can afford to are fleeing new york city,"the rev. joseph o’hare, resourceful president of fordham, dies at 89","shares of ford, general motors, and truecar are falling after auto sales collapse","ford, uaw to build respirators in michigan","ford to produce 50,000 ventilators in michigan in next 100 days; partnering with ge healthcare will help coronavirus patients",,,,,,,,,,,,,,,,,,,,
2020-04-02,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,0,"how to look good on camera, according to tom ford",,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14,1,america can afford a world-class health system. why don’t we have one?,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-16,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,1,"donald kennedy, who led stanford in 1980s, dies at 88",,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,0,"i drove a $47,000 kia telluride to see if this upstart midsize suv could take on ford, chevy, toyota, honda, and vw",centaurus financial inc. grows position in ford motor (nyse:f),"adirondack trust co. sells 3,460 shares of ford motor (nyse:f)",,,,,,,,,,,,,,,,,,,,,,
2020-04-27,1,"in race for a coronavirus vaccine, an oxford group leaps ahead",why ford motor stock is rising today,"thinking about buying stock in ford, general electric, nordic american tanker, penn national gaming, or translate bio?","merian global investors uk ltd has $398,000 stock position in ford motor (nyse:f)",ford motor (nyse:f) shares sold by hartford investment management co.,"first hawaiian bank takes $49,000 position in ford motor (nyse:f)",,,,,,,,,,,,,,,,,,,
2020-04-28,0,"google mixed, starbucks tops and ford misses",ford motor falls after q1 earnings miss,"ford&quot;s lincoln and rivian cancel electric suv plans, citing covid-19 impact",ford motor company 2020 q1 - results - earnings call presentation,"ford motor eps misses by $0.17, misses on automotive revenue","ford protecting people, preserving cash, preparing for recovery as pandemic stops most operations, drives down q1 results",ford reports earnings after the bell. here&quot;s what to expect,ford set to restart main european car factories on monday 4 may,why ford motor stock is rising today,ford to restart european manufacturing production with enhanced employee protection protocols in place,ford motor will resume european production next week with new coronavirus safety measures,ford to reopen european plants with increased coronavirus safety protocols,"clarius group llc has $151,000 stake in ford motor (nyse:f)","engineering from home, according to the ford mustang mach-e team",,,,,,,,,,,
2020-04-29,0,restarting ford: company hosts media briefing on how it plans to return to work,"key ford, toyota supplier borgwarner to reopen tornado-damaged south carolina plant","eu carmaker closures 29/04: ford announces phased eu restarts, uk sites still closed","eli lilly and company, pvh, alphabet, starbucks and ford motor highlighted as zacks bull and bear of the day","camelot portfolios llc acquires 50,988 shares of ford motor (nyse:f)",ford motor (nyse:f) shares purchased by camelot portfolios llc,ford motor (nyse:f) shares sold by certified advisory corp,"clear street markets llc sells 120,400 shares of ford motor (nyse:f)",ford motor (nyse:f) shares sold by arp americas lp,ford to restart european manufacturing production with enhanced employee protection protocols in place,ford motor company (f) ceo jim hackett on q1 2020 results - earnings call transcript,ford motor co (f) q1 2020 earnings call transcript,,,,,,,,,,,,,
2020-04-30,0,f.a.a. investigates harrison ford and his plane again,why the people harvesting californians’ food can’t afford it,"how trading in ford, ge and other volatile stocks could be linked to casino closures",ford motor steps up campaign to convince union workers to restart u.s. output,update 1-ford motor steps up campaign to convince union workers to restart u.s. output,restarting ford: safety priority one as ford readies to reboot critical manufacturing worldwide,ford is making face masks and face shields to enable employees across europe to return safely to work,"zacks earnings trends highlights: ford, delta air, starbucks, boeing, alphabet, coca-cola and proctor &amp; gamble",commerzbank aktiengesellschaft fi decreases position in ford motor (nyse:f),ford motor (nyse:f) shares sold by calamos advisors llc,,,,,,,,,,,,,,,
2020-05-01,0,"thinking about trading stocks or options in apple, moderna, ford, spirit airlines, or netflix?",alexandra ford english to join rivian&quot;s board of directors,ford: how to self-isolate your electrified vehicle,"ford motor (nyse:f) getting somewhat positive press coverage, analysis shows",,,,,,,,,,,,,,,,,,,,,
2020-05-04,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-12,0,"in richard ford’s new stories, ambivalence is the default condition",,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-14,1,the making of marcus rashford,auto suppliers will dictate ford&quot;s recovery timeline,"media-volkswagen, ford forge ahead with technology sharing to save costs - bloomberg news","vw, ford forge ahead with ev technology sharing to cut costs",,,,,,,,,,,,,,,,,,,,,
2020-05-15,1,just because you can afford to leave the city doesn’t mean you should,"thinking about buying stock in tetraphase pharmaceuticals, remark holdings, cronos group, ford, or norwegian cruise line?","aperio group llc sells 352,939 shares of ford motor (nyse:f)",weekly analysts&quot; ratings updates for ford motor (f),"bessemer group inc. has $50,000 holdings in ford motor (nyse:f)",,,,,,,,,,,,,,,,,,,,
2020-05-18,1,kc&quot;s ford and gm plants restart production,how ford plans to test workers for covid-19 as it resumes production,ford resumes u.s. production and operations,why ford motor stock is rising today,vestmark advisory solutions inc. makes new investment in ford motor (nyse:f),"vestmark advisory solutions inc. invests $95,000 in ford motor (nyse:f)","wetherby asset management inc. purchases 22,313 shares of ford motor (nyse:f)",ford contracts with area hospital to test claycomo employees for covid-19,,,,,,,,,,,,,,,,,
2020-05-19,1,"melford henson, construction foreman, dies at 65","trump told to wear coronavirus mask for ford ventilator factory visit, but it&quot;s not clear he will","thinking about trading stocks or options in advanced micro devices, baidu, target, canopy growth corp, or ford?",ford resumes car and truck production while implementing numerous safety protocols,,,,,,,,,,,,,,,,,,,,,
2020-05-20,1,designing the ultimate racing car from home - ford livestream event showcases the virtual design studio,the wall street journal: ford factory in chicago halts production for second straight day,"trump has &quot;legal responsibility&quot; to wear coronavirus mask for ford factory visit, michigan ag says",ford temporarily closes chicago plant after two positive coronavirus cases,ford mustang mach-e charging report: fast but not that fast,former ford ceo mark fields optimistic on car demand,,,,,,,,,,,,,,,,,,,
2020-05-21,1,"trump visits ford plant in michigan, skips the face mask","thinking about buying stock in boeing, general electric, cinedigm corp, ford, or tjx companies?",ford briefly halts output at 2 factories after workers test positive,ford motor (nyse:f) earns news sentiment score of -1.30,,,,,,,,,,,,,,,,,,,,,
2020-05-22,0,$12.83 billion in sales expected for ford motor (nyse:f) this quarter,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,0,"why ford, general motors, and honda stocks are up today","automotive minute: new 2020 ford st-line bridges gap between edge, edge st","cigna investments inc. new buys 6,500 shares of ford motor (nyse:f)",northwestern mutual wealth management co. boosts stake in ford motor (nyse:f),"national asset management inc. has $401,000 stock holdings in ford motor (nyse:f)",shell asset management co. cuts position in ford motor (nyse:f),"northwestern mutual investment management company llc buys 52,008 shares of ford motor (nyse:f)",new edge st-line comes standard with great value and eye-catching style inspired by ford performance,,,,,,,,,,,,,,,,,
2020-05-27,1,"byford, ex-subway chief in new york, will be london transport commissioner","empirical financial services llc d.b.a. empirical wealth management purchases 2,097 shares of ford motor (nyse:f)","thinking about buying stock in biocept, celsion corp, tilray, altimmune, or ford?",packing heat: how ford&quot;s latest tech helps police vehicles neutralize covid-19,ford develops heat software to sanitize police vehicles,ford develops software to bake away coronavirus in police vehicles,ford motor reaches analyst target price,,,,,,,,,,,,,,,,,,
2020-05-28,0,landmark in volkswagen-ford global alliance,"here&#39;s how amazon could become a threat to tesla, ford and more with zoox buy","here&quot;s how amazon could become a threat to tesla, ford and more with zoox buy","commerce bank has $395,000 position in ford motor (nyse:f)",ford motor (nyse:f) shares sold by etrade capital management llc,aigen investment management lp reduces stock position in ford motor (nyse:f),,,,,,,,,,,,,,,,,,,
2020-05-29,0,"volkswagen pumps $2.2 billion into china ev operations, expands cooperation with ford",ford motor company issues two safety recalls in north america,"thinking about buying stock in ford, jaguar health, toughbuilt industries, canopy growth corp, or northern dynasty minerals?",mutual of america capital management llc has $2.57 million stake in ford motor (nyse:f),,,,,,,,,,,,,,,,,,,,,
2020-06-01,1,dorsey & whitney trust co llc cuts holdings in ford motor (nyse:f),,,,,,,,,,,,,,,,,,,,,,,,
2020-06-02,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-03,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-04,1,trump’s approval slips where he can’t afford to lose it: among evangelicals,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-05,1,"robert ford jr., an early force in hip-hop, is dead at 70",,,,,,,,,,,,,,,,,,,,,,,,
2020-06-08,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-09,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-10,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-11,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-12,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-15,1,25 million applications: the scramble for n.y.c. affordable housing,"auto stock roundup: ford-volkswagen ev deal, toyota fuel cell jv in china &amp; more",ford motor (nyse:f) short interest down 10.2% in may,m&t bank corp reduces stake in ford motor (nyse:f),ford motor is a long-term sell,,,,,,,,,,,,,,,,,,,,
2020-06-16,0,ford to provide &quot;look&quot; at all-new f-150 during citi conference call,"nikola founder: we&quot;re going after top-selling ford-150 with our $60,000 electric badger pickup","thinking about buying stock in walt disney, ford, tesla, aurora cannabis, or microsoft?",is ford stock hitting the gas as lockdowns ease?,"franklin resources inc. sells 6,631,537 shares of ford motor (nyse:f)",ford&quot;s post-covid mobility vision riding on commercial vehicles,,,,,,,,,,,,,,,,,,,
2020-06-17,0,"tesla, ford rival nikola seen as &quot;unique&quot; for more than just electric trucks",baird financial group inc. lowers stock position in ford motor (nyse:f),nikola wants to snatch the ford-150 crown with its electric badger pickup truck,how ford protects your car&quot;s interior while you protect yourself,head to head survey: ford motor (nyse:f) versus the shyft group (nyse:shyf),,,,,,,,,,,,,,,,,,,,
2020-06-18,1,ford takes on tesla with hands-free driving for electric mustang,this is how many pickup trucks nikola has to sell to top ford&quot;s f-150,ford launching its own driver-assist system to compete with tesla autopilot (sort of),"thinking about buying stock in orion group holdings, enphase energy, novan inc, ford, or actinium pharmaceuticals?","stocks making the biggest moves in the premarket: kroger, carnival, ford, amc, spotify & more",ford launching new driver system to compete with tesla&quot;s autopilot and gm&quot;s super cruise,jefferies financial group analysts give ford motor (nyse:f) a $7.50 price target,ford gives america&quot;s favourite truck a makeover,,,,,,,,,,,,,,,,,
2020-06-19,0,malala yousafzai graduates from oxford university,ford decides not to unveil the new bronco suvs on o.j. simpson&quot;s birthday,no more second-guessing: all-new ford mustang mach-e addresses range anxiety with upgradeable intelligent range,jefferies financial group comments on ford motor&quot;s q2 2020 earnings (nyse:f),,,,,,,,,,,,,,,,,,,,,
2020-06-22,1,"new ford survey shows american pickup owners really, really love their trucks",ford aims to make hands-free driver assist more intuitive than rivals,"thinking about buying stock in microvision, invitae corp, alpine immune sciences, anavex life sciences, or ford motor?",fy2020 eps estimates for ford motor (nyse:f) increased by jefferies financial group,ford motor (nyse:f) earns media sentiment score of 1.46,,,,,,,,,,,,,,,,,,,,
2020-06-23,0,ford motor (nyse:f) given new $7.00 price target at jpmorgan chase & co.,ford motor (nyse:f) short interest down 10.2% in june,inwed20: variety is a key component at ford,,,,,,,,,,,,,,,,,,,,,,
2020-06-24,0,"verisign now #228 largest company, surpassing ford motor",future of ford motor rests heavily on new full-size pickup and automaker&quot;s ability to build quickly and flawlessly,"ford expands climate change goals, sets target to become carbon neutral by 2050: annual sustainability report",,,,,,,,,,,,,,,,,,,,,,
2020-06-25,1,carbon neutrality by 2050: ford sustainability leaders on ambitious new goal during wolfe research fireside chat,ford motor company issues a safety compliance recall and a safety recall in north america,"thinking about trading options or stock in invitae corp, penn national gaming, ford motor company, bank of america, or advanced micro devices?",ford and vodafone partner on 5g project,,,,,,,,,,,,,,,,,,,,,
2020-06-26,0,trump administration asks supreme court to strike down affordable care act,how jennifer crawford’s rural fantasy became a reality,ford motor company (f) fireside chat hosted by citi research (transcript),"in all-important pickup truck wars, ford freshens up its venerable f-150","ford unveils its all-new f-150 office, uh, pickup (photos)","ford unveils its all-new f-150 office, uh, pickup [photos]",,,,,,,,,,,,,,,,,,,
2020-06-29,1,"ford, wayne state university and access coalition expands mobile covid-19 testing; effort tests more than 10,000 people","thinking about trading options or stock in aptose biosciences, novavax, inovio pharmaceuticals, ford motor, or carnival corp?",ford plans to reach carbon neutrality by 2050,"aqr capital management llc sells 460,441 shares of ford motor (nyse:f)",,,,,,,,,,,,,,,,,,,,,
2020-06-30,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01,0,"thinking about trading options or stock in fedex corp, inovio pharmaceuticals, ford motor, boeing, or plug power?",,,,,,,,,,,,,,,,,,,,,,,,
2020-07-02,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-06,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-07,0,"‘notes on a silencing,’ by lacy crawford: an excerpt",,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08,0,stanford permanently cuts 11 sports amid coronavirus pandemic,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-09,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-10,1,fedex made a demand dan snyder couldn’t afford to dismiss,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-13,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-14,1,"dunford bows out of search for virus oversight chair, leaving it leaderless",,,,,,,,,,,,,,,,,,,,,,,,
